Date,Year,Month,Day,Hour,PPT(mm),T(C),Ref z
2017-04-29 16:00:00,2017,4,29,16,5.375486708639843,-8.976119602826145,4047.1531549675274
2017-04-29 17:00:00,2017,4,29,17,5.592442354864093,-8.534801233886071,4047.1531549675274
2017-04-29 18:00:00,2017,4,29,18,5.668506485811239,-9.03100625711454,4047.1531549675274
2017-04-29 19:00:00,2017,4,29,19,5.904478164772273,-8.818876755405483,4047.1531549675274
2017-04-29 20:00:00,2017,4,29,20,6.192311751197273,-8.974636179737274,4047.1531549675274
2017-04-29 21:00:00,2017,4,29,21,6.560531294191415,-8.384975501909707,4047.1531549675274
2017-04-29 22:00:00,2017,4,29,22,6.98407020514712,-8.168395730934094,4047.1531549675274
2017-04-29 23:00:00,2017,4,29,23,7.451691737447193,-8.41316054059837,4047.1531549675274
2017-04-30 00:00:00,2017,4,30,0,7.870908822780902,-8.7454473125062,4047.1531549675274
2017-04-30 01:00:00,2017,4,30,1,0.4157596248361116,-8.600813561340942,4047.1531549675274
2017-04-30 02:00:00,2017,4,30,2,0.6180210639455674,-7.878386517059141,4047.1531549675274
2017-04-30 03:00:00,2017,4,30,3,0.9871049720641123,-6.489160794328313,4047.1531549675274
2017-04-30 04:00:00,2017,4,30,4,1.4495403136177871,-5.814945000434932,4047.1531549675274
2017-04-30 05:00:00,2017,4,30,5,2.369224805978745,-5.609490902625794,4047.1531549675274
2017-04-30 06:00:00,2017,4,30,6,3.390904383018832,-5.207483245540857,4047.1531549675274
2017-04-30 07:00:00,2017,4,30,7,4.486919360757267,-4.6200477023465965,4047.1531549675274
2017-04-30 08:00:00,2017,4,30,8,6.105875238757333,-4.975327532132042,4047.1531549675274
2017-04-30 09:00:00,2017,4,30,9,7.835469852680524,-5.042081571131348,4047.1531549675274
2017-04-30 10:00:00,2017,4,30,10,9.493322161278568,-5.0776837252643645,4047.1531549675274
2017-04-30 11:00:00,2017,4,30,11,10.89100056743239,-5.2289928803295425,4047.1531549675274
2017-04-30 12:00:00,2017,4,30,12,12.168532221294697,-5.532352902004334,4047.1531549675274
2017-04-30 13:00:00,2017,4,30,13,13.342340060229079,-6.630085987771395,4047.1531549675274
2017-04-30 14:00:00,2017,4,30,14,14.175588040150096,-7.633621707394866,4047.1531549675274
2017-04-30 15:00:00,2017,4,30,15,14.803981485588457,-8.062330980079537,4047.1531549675274
2017-04-30 16:00:00,2017,4,30,16,15.196403252065783,-8.60452211906312,4047.1531549675274
2017-04-30 17:00:00,2017,4,30,17,15.458305884758799,-8.56891996493016,4047.1531549675274
2017-04-30 18:00:00,2017,4,30,18,15.714157961581023,-8.496973945119748,4047.1531549675274
2017-04-30 19:00:00,2017,4,30,19,15.723665977949414,-11.05291192725025,4047.1531549675274
2017-04-30 20:00:00,2017,4,30,20,15.7452751060594,-11.443793911168655,4047.1531549675274
2017-04-30 21:00:00,2017,4,30,21,15.80318756939416,-11.695975836277285,4047.1531549675274
2017-04-30 22:00:00,2017,4,30,22,15.935435433427267,-11.82355022192047,4047.1531549675274
2017-04-30 23:00:00,2017,4,30,23,16.075462583579966,-11.449727603524138,4047.1531549675274
2017-05-01 00:00:00,2017,5,1,0,16.125595760795136,-11.806490856398455,4047.1531549675274
2017-05-01 01:00:00,2017,5,1,1,0.024202223483184293,-10.97577392662879,4047.1531549675274
2017-05-01 02:00:00,2017,5,1,2,0.031981509602777014,-9.83427985973998,4047.1531549675274
2017-05-01 03:00:00,2017,5,1,3,0.03457460497597459,-8.7039114660177,4047.1531549675274
2017-05-01 04:00:00,2017,5,1,4,0.04148952597117159,-7.424459051863607,4047.1531549675274
2017-05-01 05:00:00,2017,5,1,5,0.046675716717566734,-6.834056662491605,4047.1531549675274
2017-05-01 06:00:00,2017,5,1,6,0.05618373308596131,-6.279998138796998,4047.1531549675274
2017-05-01 07:00:00,2017,5,1,7,0.09421579855953613,-5.734098442091238,4047.1531549675274
2017-05-01 08:00:00,2017,5,1,8,0.23164985333903876,-5.857222558467811,4047.1531549675274
2017-05-01 09:00:00,2017,5,1,9,0.33191620776936925,-6.037458463766086,4047.1531549675274
2017-05-01 10:00:00,2017,5,1,10,0.40192978284572106,-5.973671270944465,4047.1531549675274
2017-05-01 11:00:00,2017,5,1,11,0.41662398996051075,-6.328951100729853,4047.1531549675274
2017-05-01 12:00:00,2017,5,1,12,0.4235389109557043,-6.802163066080823,4047.1531549675274
2017-05-01 13:00:00,2017,5,1,13,0.43650438782169565,-8.346406501599006,4047.1531549675274
2017-05-01 14:00:00,2017,5,1,14,0.449469864687687,-10.007098649593843,4047.1531549675274
2017-05-01 15:00:00,2017,5,1,15,0.45638478568288054,-11.175294332082387,4047.1531549675274
2017-05-01 16:00:00,2017,5,1,16,0.4581135159316789,-12.072765300851358,4047.1531549675274
2017-05-01 17:00:00,2017,5,1,17,0.45984224618048075,-12.132843935950802,4047.1531549675274
2017-05-01 18:00:00,2017,5,1,18,0.47021462767327105,-12.224074455916593,4047.1531549675274
2017-05-01 19:00:00,2017,5,1,19,0.48577319991245993,-11.149334428027089,4047.1531549675274
2017-05-01 20:00:00,2017,5,1,20,0.49441685115645534,-11.5424415465788,4047.1531549675274
2017-05-01 21:00:00,2017,5,1,21,0.5013317721516488,-11.558759200556437,4047.1531549675274
2017-05-01 22:00:00,2017,5,1,22,0.5013317721516488,-11.302868717725573,4047.1531549675274
2017-05-01 23:00:00,2017,5,1,23,0.5013317721516488,-11.026210311650516,4047.1531549675274
2017-05-02 00:00:00,2017,5,2,0,0.5021961372760481,-10.822981348474741,4047.1531549675274
2017-05-02 01:00:00,2017,5,2,1,0.0,-10.288207324935513,4047.1531549675274
2017-05-02 02:00:00,2017,5,2,2,0.0,-8.679434985051273,4047.1531549675274
2017-05-02 03:00:00,2017,5,2,3,0.0017287302487983824,-6.877075932068976,4047.1531549675274
2017-05-02 04:00:00,2017,5,2,4,0.003457460497596765,-4.996837166920727,4047.1531549675274
2017-05-02 05:00:00,2017,5,2,5,0.003457460497596765,-3.5883269440345202,4047.1531549675274
2017-05-02 06:00:00,2017,5,2,6,0.003457460497596765,-3.147750286638825,4047.1531549675274
2017-05-02 07:00:00,2017,5,2,7,0.006050555870797808,-3.4140247310917857,4047.1531549675274
2017-05-02 08:00:00,2017,5,2,8,0.012965476865991338,-3.395481942480842,4047.1531549675274
2017-05-02 09:00:00,2017,5,2,9,0.019880397861184868,-3.480778770091092,4047.1531549675274
2017-05-02 10:00:00,2017,5,2,10,0.024202223483184293,-3.8397671575987147,4047.1531549675274
2017-05-02 11:00:00,2017,5,2,11,0.027659683980781058,-4.339680738549362,4047.1531549675274
2017-05-02 12:00:00,2017,5,2,12,0.031117144478377823,-5.240118553496075,4047.1531549675274
2017-05-02 13:00:00,2017,5,2,13,0.06050555870795726,-7.150025780421856,4047.1531549675274
2017-05-02 14:00:00,2017,5,2,14,0.08384341706674237,-8.83371098629425,4047.1531549675274
2017-05-02 15:00:00,2017,5,2,15,0.0898939729375367,-9.568005415287018,4047.1531549675274
2017-05-02 16:00:00,2017,5,2,16,0.0898939729375367,-10.040475669093496,4047.1531549675274
2017-05-02 17:00:00,2017,5,2,17,0.0898939729375367,-10.327518036790707,4047.1531549675274
2017-05-02 18:00:00,2017,5,2,18,0.0898939729375367,-10.12132222743719,4047.1531549675274
2017-05-02 19:00:00,2017,5,2,19,0.0898939729375367,-10.860066925696572,4047.1531549675274
