Date,"30.8,79.3","30.8,79.4","30.8,79.5","30.7,79.3","30.7,79.4","30.7,79.5","30.6,79.3","30.6,79.4","30.6,79.5"
2017-07-29 22:00:00,0.3077261332002763,2.351756667945324,4.795675930346704,2.58305119334932,3.823124251238255,6.88568670206962,7.197794977313606,8.078386182466204,10.5850057680193
2017-07-29 23:00:00,0.2826460039395897,2.3768367972060105,4.8514095509259505,2.538464296885877,3.8147642081513595,6.892653404642033,7.132307973132924,8.025439242915922,10.497225315606897
2017-07-30 00:00:00,0.4693536328801997,2.5231375512266254,4.909929852534219,2.6833717103920094,3.9234447682810014,6.926093576989615,7.144848037763268,8.063059436806896,10.654672793743373
2017-07-30 01:00:00,0.9458760888330175,2.840819188528485,5.059017287583799,3.346601795285437,4.356773668284859,7.059854266379887,7.755131183106414,8.37934773359433,10.522305444867584
2017-07-30 02:00:00,1.662053113276727,3.568142937088055,5.787734376657852,3.8050108245500383,4.866736296585259,7.69382420046918,8.004539135198684,8.744402948388597,11.322082900180249
2017-07-30 03:00:00,1.981128091093126,3.8969712985058322,6.265650173125152,4.002865177606452,5.045083882438973,8.090926247096547,8.20936019082751,8.919963853213346,11.361096434585704
2017-07-30 04:00:00,2.1121020994544324,4.239733065068378,6.71151913775941,4.207686233235279,5.276378407842969,8.545155254817644,8.418361267999785,9.225105425884863,11.869665722371622
2017-07-30 05:00:00,2.1803757846640224,4.250879789184239,6.889866723613068,4.614541663464024,5.43661256700841,8.826610038743013,8.977090814307076,9.669581050004638,12.340614816266566
2017-07-30 06:00:00,2.446503822930083,4.713468839992231,7.358029136479047,5.077130714272073,5.914528363475711,9.215352042283484,9.282232386978649,10.05832305354511,12.631822983793313
2017-07-30 07:00:00,3.2978348772785466,5.762654247397165,8.227473617515784,6.11516939756109,6.924700236475132,10.051356350972696,10.006769454509254,10.67975292300406,13.23513942656399
2017-07-30 08:00:00,3.1557141448014363,5.6734804544703366,7.998965773140753,5.816994527461986,6.74356596959251,9.820061825568644,9.885548829749325,10.637952707569582,13.074905267398549
2017-07-30 09:00:00,3.5695362776025377,6.005095496917022,8.187066742595789,5.896414936787437,6.882900021040655,9.898088894379669,10.001196092451323,10.693686328148885,13.222599361933646
2017-07-30 10:00:00,3.159894166344884,5.61078013131862,7.426302821688637,5.7417541396799265,6.626525366375972,9.314279218811691,9.708594584410093,10.325844432325653,12.6248562812209
2017-07-30 11:00:00,3.2198078084675785,5.665120411383441,7.87495846735186,5.660940389839993,6.608411939687755,9.569260532961891,9.376979541963408,10.28683089792014,12.81017056964697
2017-07-30 12:00:00,2.746072033543726,4.841656167324572,6.786759525541413,5.06459064964173,6.007882177945987,8.68170262523688,9.303132494695888,9.941282450328629,12.236114277680429
2017-07-30 13:00:00,2.021534966013064,4.043272052526447,6.078942544184599,4.273173237415961,5.242938235495387,7.9237253853586935,8.609248918483843,9.206991999196589,11.519937253236662
