4.5.2	2017	262	14	4121	55	6	84.67720887	0.4285714286	0.683252173	0.2143039048	0.5562994271	0.6104588416	8
4.5.2	2017	274	12	4121	55	6	71.82422647	0.5	0.6761331576	0.2120710062	0.5505031716	0.6040982824	9
4.5.2	2017	297	23	4121	55	8	84.98098058	0.347826087	0.4173846037	0.1309138176	0.3398318001	0.3729166649	10
5.1.3	2017	168	22	4268	6	61	83.99356006	2.772727273	1.282246688	1.240013271	1.345635756	1.354316487	2
5.1.4	2017	246	47	4264	6.5	144.5	366.1189138	3.074468085	2.515225551	2.33542124	2.668430434	2.675727474	7
5.1.4	2017	280	34	4263	6.5	72.5	182.9374163	2.132352941	1.737305734	1.613112076	1.843126749	1.848166929	9
5.3.2	2017	180	14	4279	65	10	98.24493979	0.7142857143	0.7302053342	0.2103890214	0.5608449347	0.6372528664	3
5.3.2	2017	199	19	4279	65	15	151.2207824	0.7894736842	0.8281723483	0.2386155808	0.6360899391	0.722749038	4
5.3.2	2017	216	17	4280	65	13.5	137.6577984	0.7941176471	0.8425869804	0.2427687692	0.6471613091	0.7353287401	5
5.3.2	2017	230	14	4280	65	11.5	121.0768692	0.8214285714	0.8999036076	0.2592830133	0.6911841866	0.7853491703	6
5.3.2	2017	262	32	4279	65	14	189.8495411	0.4375	0.6173371597	0.1778690935	0.474154875	0.5387523976	8
5.3.2	2017	280	18	4279	65	9	95.01508537	0.5	0.5492662367	0.1582562885	0.4218720026	0.4793466541	9
5.4.1	2017	168	22	4274	39	9	83.57386543	0.4090909091	0.5081753595	0.1898180365	0.460531905	0.4760847429	2
5.4.1	2017	180	12	4274	39	9	88.01901929	0.75	0.9812079849	0.3665092563	0.8892158463	0.9192459698	3
5.4.1	2017	199	19	4274	39	21.5	151.5966076	1.131578947	1.067337274	0.3986810101	0.9672701733	0.9999363058	4
5.4.1	2017	216	17	4272	39	17	138.1488996	1	1.087087002	0.4060580986	0.9851682859	1.018438864	5
5.4.1	2017	230	14	4272	39	17	121.5112816	1.214285714	1.16105919	0.4336888272	1.052205288	1.087739804	6
5.4.1	2017	246	16	4272	39	8	105.0315267	0.5	0.8781434981	0.3280117216	0.7958140638	0.822689872	7
5.4.1	2017	262	16	4271	39	9	85.87062635	0.5625	0.7179437886	0.2681725466	0.6506337122	0.672606567	8
5.4.1	2017	280	18	4274	39	10	95.46363346	0.5555555556	0.7094654479	0.2650056437	0.6429502495	0.6646636225	9
5.5.2	2017	180	14	4262	31	21	99.33780244	1.5	1.062637606	0.4460454297	1.022876288	1.026377273	3
5.5.2	2017	199	19	4262	31	36	152.498588	1.894736842	1.202017775	0.5045506881	1.15704119	1.16100138	4
5.5.2	2017	216	17	4263	31	22	138.7013884	1.294117647	1.221885625	0.5128902795	1.176165633	1.18019128	5
