4.5.2	2017	274	12	4121	55	6	77.0215427	9	0.552709762	0.5955555534	0.6143312893	0.5
4.5.2	2017	297	23	4121	55	8	86.59789391	10	0.3242243753	0.3493580909	0.3603721015	0.347826087
5.1.3	2017	168	22	4268	6	61	101.492853	2	1.640042748	1.626545655	1.643160316	2.772727273
5.1.4	2017	246	47	4264	6.5	144.5	373.0999846	7	2.734783351	2.70287982	2.726543175	3.074468085
5.1.4	2017	280	34	4263	6.5	72.5	188.2614769	9	1.907559523	1.885306248	1.901811855	2.132352941
5.3.2	2017	180	14	4279	65	10	95.48151076	3	0.5086370929	0.5604284761	0.5861080728	0.7142857143
5.3.2	2017	199	19	4279	65	15	150.9806784	4	0.5926312569	0.6529752485	0.6828954645	0.7894736842
5.3.2	2017	216	17	4280	65	13.5	139.8284338	5	0.6134276587	0.6758892199	0.7068593852	0.7941176471
5.3.2	2017	230	14	4280	65	11.5	125.3242114	6	0.6676113737	0.7355901289	0.7692958713	0.8214285714
5.3.2	2017	262	32	4279	65	14	192.7221592	8	0.4491572937	0.4948922152	0.5175688511	0.4375
5.3.2	2017	280	18	4279	65	9	96.0415769	9	0.3979271386	0.4384456088	0.4585357843	0.5
5.4.1	2017	168	22	4274	39	9	100.8762295	2	0.5246731101	0.5432414835	0.5474010706	0.4090909091
5.4.1	2017	180	12	4274	39	9	84.48418998	3	0.805595154	0.8341054614	0.8404921869	0.75
5.4.1	2017	199	19	4274	39	21.5	151.459819	4	0.9121504552	0.9444317937	0.9516632853	1.131578947
5.4.1	2017	216	17	4272	39	17	140.4928881	5	0.9456448585	0.9791115762	0.9866086101	1
5.4.1	2017	230	14	4272	39	17	125.9180493	6	1.029159288	1.065581612	1.073740745	1.214285714
5.4.1	2017	246	16	4272	39	8	104.6902704	7	0.7487019867	0.775198824	0.7811345029	0.5
5.4.1	2017	262	16	4271	39	9	89.55778667	8	0.6404806535	0.6631474983	0.6682252028	0.5625
5.4.1	2017	280	18	4274	39	10	96.59912043	9	0.6140776818	0.6358101157	0.6406784986	0.5555555556
5.5.2	2017	180	14	4262	31	21	96.84993671	3	0.9473119668	0.9599459866	0.9563601493	1.5
5.5.2	2017	199	19	4262	31	36	152.6097564	4	1.099892944	1.114561892	1.110398493	1.894736842
5.5.2	2017	216	17	4263	31	22	141.2403992	5	1.137710413	1.15288372	1.148577172	1.294117647
5.5.2	2017	230	14	4263	31	21	126.586117	6	1.238168527	1.254681615	1.249994805	1.5
5.5.2	2017	246	16	4262	31	19	105.615876	7	0.9039219673	0.9159773074	0.9125557133	1.1875
5.5.2	2017	262	16	4262	31	10.5	90.54550743	8	0.774941006	0.7852761653	0.7823427996	0.65625
5.5.2	2017	280	18	4262	31	12.8	97.9372249	9	0.7450698794	0.7550066563	0.7521863611	0.7111111111
6.1.1	2017	168	12	4321	44	12	58.44118008	2	0.5053409516	0.5300748047	0.5380999365	1
6.1.2	2017	218	19	4318	17.5	46.5	154.2556424	5	1.664292576	1.631020184	1.606907191	2.447368421
6.1.2	2017	230	12	4318	17.5	29	104.9201146	6	1.79233724	1.756504991	1.730536831	2.416666667
6.1.2	2017	248	18	4317	17.5	21	112.5925744	7	1.282269943	1.256634914	1.238056831	1.166666667
6.1.2	2017	261	13	4317	17.5	12	65.76000015	8	1.036956818	1.016226068	1.001202187	0.9230769231
6.1.2	2017	279	18	4317	17.5	25.5	93.69492526	9	1.067052486	1.045720066	1.030260147	1.416666667
6.2.3	2017	199	33	4319	12.5	77	239.4092385	4	1.822709961	1.776044731	1.75795388	2.333333333
6.2.3	2017	218	19	4319	12.5	38	154.1639785	5	2.038543157	1.986352141	1.966119092	2
6.2.3	2017	230	12	4319	12.5	24	104.854492	6	2.195312731	2.139108082	2.117319056	2
6.2.3	2017	248	18	4318	12.5	25	112.4874835	7	1.570081865	1.529884449	1.514300996	1.388888889
6.2.3	2017	261	13	4318	12.5	16	65.66839526	8	1.269122819	1.23663059	1.22403423	1.230769231
6.2.3	2017	279	18	4319	12.5	20	93.47357661	9	1.304688868	1.271286074	1.258336712	1.111111111
6.3.2	2017	168	12	4317	11	40	58.74340834	2	1.319177849	1.285887817	1.277130009	3.333333333
6.3.3	2017	218	19	4315	9	51	154.5306341	5	2.426598131	2.372811111	2.371483365	2.684210526
6.3.3	2017	230	12	4315	9	26	105.1169825	6	2.613536155	2.555605541	2.554175509	2.166666667
6.3.3	2017	248	18	4314	9	41.5	112.907847	7	1.871494237	1.830011431	1.828987418	2.305555556
6.3.3	2017	261	13	4314	9	22.5	66.03481481	8	1.515536795	1.481944003	1.481114756	1.730769231
6.3.3	2017	279	18	4314	9	21	94.02694824	9	1.558535535	1.523989649	1.523136875	1.166666667
6.4.1	2017	168	12	4336	32	25	57.30782411	2	0.6382683744	0.6485391753	0.6469893843	2.083333333
6.4.1	2017	199	31	4336	32	35.5	225.7710444	4	0.9733683061	0.9890314227	0.9866679696	1.14516129
6.4.1	2017	218	19	4333	32	23	152.880684	5	1.075399101	1.092704063	1.090092867	1.210526316
6.4.1	2017	230	12	4333	32	16	103.935775	6	1.157589198	1.176216736	1.173405972	1.333333333
6.4.1	2017	248	18	4331	32	19	111.1213024	7	0.8250788806	0.8383557735	0.8363523846	1.055555556
6.4.1	2017	261	13	4332	32	9	64.38592684	8	0.6619394311	0.6725911386	0.6709838715	0.6923076923
6.5.3	2017	199	33	4326	20	47	238.1749722	4	1.354837983	1.33457816	1.315297635	1.424242424
